sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_136.0_ICT_24,136,dark grey grainstone,,7,2,,-6.0197258,-19.18799973
C16_136.0_ICT_25,136,dark grey grainstone,,22,3,,-5.495009422,-18.45277023
C16_139.0_ICT_1,139,ls mudstone,,,,,-7.371258736,-18.39912796
C16_139.0_ICT_2,139,ls mudstone,,,,,-8.010417938,-18.42741776
C16_139.0_ICT_3,139,sandy limestone,,,,,3.70819521,-18.24836922
C16_139.0_ICT_4,139,ls mudstone,,,,,-7.892132759,-18.26929855
C16_139.0_ICT_6,139,ls mudstone,,,,,-7.505612373,-18.10637474
C16_139.0_ICT_7,139,sandy limestone,,,,,-7.959576607,-18.48723793
C16_139.0_ICT_8,139,tan sandy limestone,,,,,-6.23823452,-17.0896759
C16_139.0_ICT_9,139,sandy limestone,,,,,-2.433348417,-18.02255058
C16_139.0_ICT_10,139,sandy limestone,,,,,-7.091758728,-17.54620743
C16_139.0_ICT_11,139,ls mudstone,,,,,-7.233823776,-18.30194855
C16_139.0_ICT_12,139,ls mudstone,,,,,-7.016214848,-18.30070686
C16_139.0_ICT_13,139,ls mudstone,,,,,-8.770889282,-18.12372208
C16_139.0_ICT_14,139,ls mudstone,,,,,-7.52218771,-17.97052002
C16_139.0_ICT_15,139,sandy limestone,,,,,-7.752232075,-18.36257553
C16_237.0_ICT_1,237,ls mudstone,,,,,-4.073320389,-17.45853806
C16_237.0_ICT_2,237,ls mudstone,,,,,-3.99679327,-17.47673035
C16_237.0_ICT_3,237,ls mudstone,,,,,-3.781830788,-17.66081238
C16_237.0_ICT_4,237,ls mudstone,,,,,-3.237579346,-17.75622559
C16_237.0_ICT_5,237,sandy limestone,,,,,-3.484288216,-18.02344322
C16_237.0_ICT_6,237,ls mudstone,,,,,-2.13553524,-16.98033905
C16_237.0_ICT_7,237,ls mudstone,,,,,-3.930847168,-17.61544418
C16_237.0_ICT_8,237,ls mudstone,,,,,-3.145158291,-17.63625717
C16_237.0_ICT_9,237,ls mudstone,,,,,-3.579788446,-17.99872208
C16_237.0_ICT_10,237,ls mudstone,,,,,-4.00551796,-17.61678886
C16_237.0_ICT_11,237,ls mudstone,,,,,-3.657576084,-17.75071526
C16_237.0_ICT_12,237,ls mudstone,,,,,-3.440957785,-17.81436348
C16_237.0_ICT_13,237,ls mudstone,,,,,-2.944942474,-17.53700066
C16_237.0_ICT_14,237,ls mudstone,,,,,-3.413148403,-17.62095833
C16_253.2_ICT_1,253.2,ls mudstone,,,,,-2.444274902,-19.00426865
C16_253.2_ICT_2,253.2,ls mudstone,,,,,-1.904628038,-17.31999207
C16_253.2_ICT_3,253.2,ls mudstone,,,,,-1.987614155,-17.34243774
C16_253.2_ICT_4,253.2,ls mudstone,,,,,-3.999417782,-17.23884583
C16_256.0_ICT_1,256,dark sandy mudstone,,,,,-2.41624403,-17.96984482
C16_256.0_ICT_2,256,dark sandy mudstone,,,,,-2.496604443,-17.92197227
C16_256.0_ICT_3,256,silty limestone,,,,,-2.37115407,-17.6616497
C16_256.0_ICT_4,256,ls mudstone,,,,,0.152712822,-17.50065804
C16_256.0_ICT_5,256,ls mudstone,,,,,-2.710836649,-17.56180382
C16_256.0_ICT_6,256,sandy limestone,,,,,-2.144819498,-17.61069489
C16_256.0_ICT_7,256,ls mudstone,,,,,-2.007535696,-17.40606308
C16_256.0_ICT_8,256,limestone cemented sandstone,,,,,-2.468104839,-17.53355598
