run_no,sample_simple,sample_name,member,type,loc,facies,features,thin_section,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa
1,CV-3,C13_116.9,TLM,section,wolverine_sec,sandy grey laminated crystalline limestone,,,-9.0917969,-15.48183632,33.69200585,1.428771333,17.92325764,0.970269938,-0.601144455,0.187445158,15.20118567,4.911121751,0.820711404,0.508752343,0.042300103,0.829492113
2,CV153,C13_117.2,TLM,section,wolverine_sec,sandy grainstone,,,-10.24787903,-15.84922314,250.7713748,14.90220249,32.80660919,14.6316717,39.69399597,3.12223611,19.6907843,0.742825709,9.182719741,0.872050168,2.630091978,1.102713835
2,CV154,C13_117.6,TLM,section,wolverine_sec,sandy grainstone,,,-10.08938789,-15.52910233,363.6335879,30.6523593,39.34190642,16.70206025,62.41981,4.341754177,23.10588356,0.908530973,14.19512798,0.647512616,2.443659089,1.309926839
2,CV155,C13_123.9,TLM,section,wolverine_sec,sandy grainstone,,,-9.608205795,-16.17721939,156.2486414,9.632854871,26.53368409,7.220536938,14.45591077,0.72456469,16.78716448,0.347642349,3.337054287,0.436501015,1.384555951,0.4945858
2,CV156,C13_124.0,TLM,section,wolverine_sec,grey crystalline limestone,,,-9.44181633,-13.28641415,35.30568355,1.671096121,11.44278297,0.818093587,0.268571555,0.080992337,12.332897,1.410353699,0.071275194,0.302208716,0.042916352,0.244004422
1,CV-4,C13_127.9,TLM,section,wolverine_sec,sandy pink crystalline limestone,,,-8.8876619,-14.1134243,24.23509673,3.683196549,12.85817715,0.617967766,-0.215382153,0.424743785,9.343590638,1.506403223,1.269108717,0.352786677,0.066985193,0.128089324
2,CV157,C13_129.1,TLM,section,wolverine_sec,pink crystalline limestone,,,-7.892449379,-13.80066681,13.22179593,1.2623811,16.58798014,0.324485275,0.217557787,0.636541433,6.754810816,0.484851988,0.052649273,0.346956543,0.005910557,0.175679808
2,CV158,C13_129.3,TLM,section,wolverine_sec,sandy pink crystalline limestone,,,-7.89498806,-14.14472675,17.19012087,1.383407027,19.80686052,0.452975805,0.371753836,0.904832916,7.645722504,0.990840854,0.080678331,0.345586424,0.034113962,0.31245894
2,CV159,C13_129.4,TLM,section,wolverine_sec,green and pink crystalline limestone,,,-8.703214645,-14.06513882,21.02462502,1.945765119,12.88549224,0.282635876,0.341583721,0.028539493,11.90308025,0.442011461,0.08143419,0.308873938,0.026915664,0.23083846
2,CV160,C13_129.5,TLM,section,wolverine_sec,grey crystalline limestone,,,-9.139353752,-14.42966366,29.31862842,1.313148707,13.15588152,0.642428984,0.344642425,0.175956047,13.73637963,1.424065414,0.080153128,0.305896678,0.025657503,0.488714802
1,CV-5,C13_129.7,TLM,section,wolverine_sec,grey crystalline limestone,,y,-8.8252287,-14.23236942,36.79585234,2.340743189,17.28037419,1.156902726,-0.490749962,0.222512057,11.60005261,1.877220519,1.062183881,0.39720232,0.029422519,0.432860431
1,CV-6,C13_134.7,TLM,section,wolverine_sec,pink and grey laminated crystalline limestone,,,-8.6334715,-14.74773026,25.7689418,2.119804547,17.83339764,0.410096381,0.243677323,0.362930688,11.89351122,1.917873253,1.334263619,0.486744552,0.011064971,0.225375879
1,CV-7,C13_138.6,TLM,section,wolverine_sec,grey crystalline limestone,,,-8.786953,-14.62822533,31.01632744,2.165200617,17.89838046,0.917625307,-0.255633819,0.212007675,24.72657251,5.156999715,1.13031593,0.485232918,0.055456141,1.257386719
1,CV-8,C13_144.6,TLM,section,wolverine_sec,grey crystalline ls mudstone,,,-8.0234184,-14.33851433,44.49281186,1.156468789,16.20071814,0.646986561,-0.036543586,0.211172779,8.397345252,3.20410931,0.933877787,0.376542904,0.011575474,0.721459183
1,CV-9,C13_147.2,TLM,section,wolverine_sec,grey crystalline limestone,,,-7.8177605,-13.96443748,19.55064786,1.624217725,13.52479111,0.487723582,-0.168775971,0.260895181,5.518815562,2.801965755,0.86909481,0.33547538,0.017423562,0.256127229
1,CV-10,C13_151.8,TLM,section,wolverine_sec,grey crystalline limestone,,,-8.5667477,-14.09566212,48.97379149,1.686121425,16.2682979,0.94364454,-0.048492125,0.196614734,6.923378575,5.605140611,1.31615323,0.383730804,0.030136599,1.987132614
1,CV-11,C13_153.6,TLM,section,wolverine_sec,grey crystalline limestone,,,-8.1160059,-14.31684113,57.70918641,1.786792939,19.84652623,0.935058655,0.70310914,0.374652045,5.81913054,5.04477888,1.878873685,0.430021286,0.021668691,1.222137171
1,CV-12,C13_155.8,TLM,section,wolverine_sec,grey crystalline limestone,,,-8.4597168,-14.01925182,28.51066063,0.856989024,18.33488009,0.324805859,0.342131203,0.109395328,7.822616417,4.927546079,0.964956366,0.420182724,0.006135562,3.366190319
1,CV-1,C13_96.4,TLM,section,wolverine_sec,sandy crystalline limestone with microcrystalline dolomite,,y,-11.88236,-14.77553558,27.43204182,2.874554419,13.4191449,0.602456613,-0.506767853,0.245535909,15.72848552,1.736167281,0.581379382,0.412875477,0.049431283,0.52702517
2,CV145,C13_96.5,TLM,section,wolverine_sec,sandy crystalline limestone ribbonite,,y,-12.1254425,-14.80136585,34.8458856,2.689073101,14.53599583,0.712523105,0.187596465,0.02465012,14.96645149,2.215015589,0.039590197,0.560101368,0.028882572,0.459321449
2,CV146,C13_96.6,TLM,section,wolverine_sec,sandy crystalline limestone ribbonite,,,-11.89342976,-14.76557732,23.97718082,2.421824503,12.41700164,0.56935271,0.145536611,0.098974563,11.81467935,1.502848498,0.037448075,0.499663975,0.01603917,0.417364061
2,CV147,C13_97.0,TLM,section,wolverine_sec,sandy crystalline limestone,,,-12.11106014,-15.38822269,9.242734309,1.708957192,11.5625414,0.406335664,0.285205065,0.588246956,12.31125773,1.076326404,0.059673164,0.531968779,0.053624828,0.725902158
2,CV214,C16_105.1_ICT_100,WMM,ict,mckale_ict,tan crystalline limestone,,,-6.287325859,-21.45601654,3.562311999,0.159620978,9.585061289,0.212734232,1.258376181,0.002803507,5.80956137,6.222450304,0.257808166,1.847658743,0.035849429,0.711902972
1,CV60,C16_105.1_ICT_25,WMM,ict,mckale_ict,sandy limestone,,,-7.3207445,-20.71597862,3.134604103,0.167035499,12.78572203,0.197139964,1.171053974,-0.087792077,5.958375473,7.055490387,1.937055578,1.798205655,0.006067109,0.480367915
1,CV69,C16_105.1_ICT_29,WMM,ict,mckale_ict,sandy grey crystalline limestone,,,-6.0740433,-23.52236557,4.214238734,0.249638549,8.009811566,0.232277866,1.63194525,-0.064947192,5.628691322,5.495569004,3.119014443,1.815781901,0.010886328,3.160580934
